Orthogroup	UP000070043	UP000070149	UP000070599	UP000185561	UP000186063	UP000186209	UP000186239	UP000186851	UP000228988	UP000245584	UP000265899	UP000266048	UP000266374	UP000274362	UP000279561	UP000315391	UP000315475	UP000315741	UP000315921	UP000317027	UP000317179	UP000317346	UP000317403	UP000317466	UP000317680	UP000318115	UP000318839	UP000318994	UP000319007	UP000319077	UP000319869	UP000319889	UP000320434	UP000320621	UP000320670	UP000320844	UP000320864	UP000321408	UP000322103	UP000322882	UP000323018	UP000324665	UP000538462	UP000556275	UP000610226	UP000619436	UP000621573	UP000625964	UP000634061	UP000645858	UP000678182	UP000696993	UP000700897	UP000706067	UP000721749	UP000723406	UP000729503	UP000738095	UP000751408	UP000760201	UP000771954	UP000775429	UP000777023	UP000825566	UP000825906	UP000826397	UP000826686	UP000826833
OG0010852			KXH75398.1																																																																	
OG0010853			KXH75399.1																																																																	
OG0010854			KXH75400.1																																																																	
OG0010855			KXH75401.1																																																																	
OG0010856			KXH75402.1																																																																	
OG0010857			KXH75403.1																																																																	
OG0010858			KXH75404.1																																																																	
OG0010859			KXH75407.1																																																																	
OG0010860			KXH75408.1																																																																	
OG0010861			KXH75409.1																																																																	
OG0010862			KXH75412.1																																																																	
OG0010863			KXH75413.1																																																																	
OG0010864			KXH75414.1																																																																	
OG0010865			KXH75417.1																																																																	
OG0010866			KXH75418.1																																																																	
OG0010867			KXH75419.1																																																																	
OG0010868			KXH75831.1																																																																	
OG0010869			KXH75832.1																																																																	
OG0010870			KXH75834.1																																																																	
OG0010871			KXH75835.1																																																																	
OG0010872			KXH75836.1																																																																	
OG0010873			KXH75838.1																																																																	
OG0010874			KXH75839.1																																																																	
OG0010875			KXH75933.1																																																																	
OG0010876			KXH75934.1																																																																	
OG0010877			KXH75935.1																																																																	
OG0010878			KXH75936.1																																																																	
OG0010879			KXH75937.1																																																																	
OG0010880			KXH75938.1																																																																	
OG0010881			KXH75939.1																																																																	
OG0010882			KXH75940.1																																																																	
OG0010883			KXH75941.1																																																																	
OG0010884			KXH75942.1																																																																	
OG0010885			KXH75943.1																																																																	
OG0010886			KXH75944.1																																																																	
OG0010887			KXH75945.1																																																																	
OG0010888			KXH75946.1																																																																	
OG0010889			KXH75947.1																																																																	
OG0010890			KXH75948.1																																																																	
OG0010891			KXH75949.1																																																																	
OG0010892			KXH75950.1																																																																	
OG0010893			KXH75951.1																																																																	
OG0010894			KXH75952.1																																																																	
OG0010895			KXH75953.1																																																																	
OG0010896			KXH75954.1																																																																	
OG0010897			KXH75955.1																																																																	
OG0010898			KXH75956.1																																																																	
OG0010899			KXH75969.1																																																																	
OG0010900			KXH75970.1																																																																	
OG0010901			KXH75975.1																																																																	
OG0010902			KXH75977.1																																																																	
OG0010903			KXH76056.1																																																																	
OG0010904			KXH76156.1																																																																	
OG0010905			KXH76213.1																																																																	
OG0010906			KXH76219.1																																																																	
OG0010907			KXH76237.1																																																																	
OG0010908			KXH76238.1																																																																	
OG0010909			KXH76239.1																																																																	
OG0010910			KXH76240.1																																																																	
OG0010911			KXH76241.1																																																																	
OG0010912			KXH76242.1																																																																	
OG0010913			KXH76243.1																																																																	
OG0010914			KXH76244.1																																																																	
OG0010915			KXH76245.1																																																																	
OG0010916			KXH76246.1																																																																	
OG0010917			KXH76247.1																																																																	
OG0010918			KXH76248.1																																																																	
OG0010919			KXH76249.1																																																																	
OG0010920			KXH76250.1																																																																	
OG0010921			KXH76251.1																																																																	
OG0010922			KXH76252.1																																																																	
OG0010923			KXH76253.1																																																																	
OG0010924			KXH76254.1																																																																	
OG0010925			KXH76255.1																																																																	
OG0010926			KXH76256.1																																																																	
OG0010927			KXH76257.1																																																																	
OG0010928			KXH76258.1																																																																	
OG0010929			KXH76259.1																																																																	
OG0010930			KXH76260.1																																																																	
OG0010931			KXH76261.1																																																																	
OG0010932			KXH76262.1																																																																	
OG0010933			KXH76263.1																																																																	
OG0010934			KXH76264.1																																																																	
OG0010935			KXH76265.1																																																																	
OG0010936			KXH76266.1																																																																	
OG0010937			KXH76267.1																																																																	
OG0010938			KXH76268.1																																																																	
OG0010939			KXH76269.1																																																																	
OG0010940			KXH76270.1																																																																	
OG0010941			KXH76271.1																																																																	
OG0010942			KXH76336.1																																																																	
OG0010943			KXH76339.1																																																																	
OG0010944			KXH76340.1																																																																	
OG0010945			KXH76345.1																																																																	
OG0010946			KXH76346.1																																																																	
OG0010947			KXH76347.1																																																																	
OG0010948			KXH76431.1																																																																	
OG0010949			KXH76619.1																																																																	
OG0010950			KXH76760.1																																																																	
OG0010951			KXH76883.1																																																																	
OG0010952			KXH76927.1																																																																	
OG0010953			KXH76930.1																																																																	
OG0010954			KXH77011.1																																																																	
OG0010955			KXH77267.1																																																																	
OG0010956			KXH77273.1																																																																	
OG0010957			KXH77275.1																																																																	
OG0010958			KXH77276.1																																																																	
OG0010959			KXH77310.1																																																																	
OG0010960			KXH77311.1																																																																	
OG0010961				OLS19833.1																																																																
OG0010962				OLS19911.1																																																																
OG0010963				OLS20451.1																																																																
OG0010964				OLS20520.1																																																																
OG0010965				OLS20564.1																																																																
OG0010966				OLS20566.1																																																																
OG0010967				OLS20569.1																																																																
OG0010968				OLS20721.1																																																																
OG0010969				OLS21152.1																																																																
OG0010970				OLS21291.1																																																																
OG0010971				OLS21779.1																																																																
OG0010972				OLS21784.1																																																																
OG0010973				OLS22253.1																																																																
OG0010974				OLS22256.1																																																																
OG0010975				OLS22297.1																																																																
OG0010976				OLS22298.1																																																																
OG0010977				OLS22300.1																																																																
OG0010978				OLS22348.1																																																																
OG0010979				OLS22578.1																																																																
OG0010980				OLS22605.1																																																																
OG0010981				OLS22606.1																																																																
OG0010982				OLS22773.1																																																																
OG0010983				OLS23164.1																																																																
OG0010984				OLS23853.1																																																																
OG0010985				OLS24012.1																																																																
OG0010986				OLS24298.1																																																																
OG0010987				OLS24299.1																																																																
OG0010988				OLS24300.1																																																																
OG0010989				OLS24301.1																																																																
OG0010990				OLS24546.1																																																																
OG0010991				OLS24547.1																																																																
OG0010992				OLS24640.1																																																																
OG0010993				OLS24946.1																																																																
OG0010994				OLS25019.1																																																																
OG0010995				OLS25220.1																																																																
OG0010996				OLS25694.1																																																																
OG0010997				OLS25696.1																																																																
OG0010998				OLS25698.1																																																																
OG0010999				OLS26210.1																																																																
OG0011000				OLS26509.1																																																																
OG0011001				OLS26587.1																																																																
OG0011002				OLS27011.1																																																																
OG0011003				OLS27135.1																																																																
OG0011004				OLS27486.1																																																																
OG0011005				OLS27493.1																																																																
OG0011006				OLS27774.1																																																																
OG0011007				OLS28345.1																																																																
OG0011008				OLS28351.1																																																																
OG0011009				OLS28483.1																																																																
OG0011010				OLS28596.1																																																																
OG0011011				OLS28964.1																																																																
OG0011012				OLS28989.1																																																																
OG0011013				OLS29131.1																																																																
OG0011014				OLS29203.1																																																																
OG0011015				OLS29301.1																																																																
OG0011016				OLS29319.1																																																																
OG0011017				OLS29483.1																																																																
OG0011018				OLS29579.1																																																																
OG0011019				OLS29763.1																																																																
OG0011020				OLS29804.1																																																																
OG0011021				OLS29845.1																																																																
OG0011022				OLS29884.1																																																																
OG0011023				OLS29955.1																																																																
OG0011024				OLS30002.1																																																																
OG0011025				OLS30043.1																																																																
OG0011026				OLS30044.1																																																																
OG0011027				OLS30160.1																																																																
OG0011028				OLS30165.1																																																																
OG0011029				OLS30232.1																																																																
OG0011030				OLS30268.1																																																																
OG0011031				OLS30269.1																																																																
OG0011032				OLS30323.1																																																																
OG0011033				OLS30339.1																																																																
OG0011034				OLS30469.1																																																																
OG0011035				OLS30495.1																																																																
OG0011036				OLS30528.1																																																																
OG0011037				OLS30601.1																																																																
OG0011038				OLS30623.1																																																																
OG0011039				OLS30748.1																																																																
